doc_id,500 abstracts,clean_text,Sentiment
0,"abstract — smart health can be defined as medical and public health practice supported by smart mobile devices points of mhealth or u-health can be made up by using smart phone. when it is connected not only to wireless network, but also to other emergencing technologies, shealth can give more",abstract — smart health can be defin as medic and public health practic support by smart mobil devic point of health or u-health can be made up by use smart phone when it is connect not onli to tireless network but also to other emerg technolog health can give more,Positive
1,abstract not found,abstract not found,Positive
2,the pan american health organization is seeking to contract a suitably qualified and experienced consultant/firm to undertake work associated with the development of a model ‘climate smart health facilities policy ’ for the caribbean. the smart hospital is designed to establish an integrated,the pan american health organ is seek to contract a suitabl qualifi and experienc consultant/firm to undertak work associ with the develop of a model ‘ climat smart health facil polici ’ for the caribbean the smart hospit is design to establish an integr,Positive
3,edependability:,edepend,Positive
4,information portals are seen as an appropriate platform for personalised healthcare and wellbeing information provision. efficient content management is a core capability of a successful smart health information portal (ship) and domain expertise is a vital input to content management when it comes,inform portal are seen as an appropri platform for personalis healthcar and well inform provis effici content manag is a core capabl of a success smart health inform portal ship and domain expertis is a vital input to content manag when it come,Neutral
5,"events during the mission. moreover, to increase overall resilience, and ultimately the performance of the entire swarm, the health management mechanism run by an individual must be sufficiently “smart ” to comply with the swarm-level goals and policies, which may lead to situations where repair",event dure the mission moreov to increas overal resid and ultim the perform of the entir swarm the health manag mechan run by an individu must be suffici “ smart ” to compli with the swarm-level goal and polici which may lead to situat where repair,Neutral
6,the following full text is a preprint version which may differ from the publisher's version.,the follow full text is a prepar version which may differ from the publish 's version,Neutral
7,can be found at:journal of intelligent material systems and structuresadditional services and information for,can be found at journal of intellig materi system and structuresaddit servic and inform for,Negative
8,". most available data are either based on extrapolation from accelerated aging experiments or from relatively modest sized field studies. moreover, larger population studies rarely have the infrastructure in place to collect health signals from components in operation, which is critical information",most avail data are either base on extrapol from acceler rage experi or from rel modest size field studi moreov larger popul studi rare have the infrastructur in place to collect health signal from compon in oper which is critic inform,Neutral
9,"abstract this editorial paper presents a vision for intelligent health care in the home of the fiture, focusing on technologies with the highest potential payoff given targeted government funding over the next ten years. a secure, plug-and-play information framework provides the starting point",abstract thi editori paper present a vision for intellig health care in the home of the futur rous on technolog with the highest potenti payoff given target govern fund over the next ten year a secur plug-and-play inform framework provid the start point,Neutral
10,"a practical guide for hospital administrators, health disaster coordinators, health facility designers, engineers and maintenance staff to achieve smart health facilities by conserving resources, cutting costs, increasing efficiency in operations and reducing carbon emissions this page",a practic guid for hospit administr health disast coordin health facil design engin and mainten staff to achiev smart health facil by conserv resourc cut cost increas effici in oper and reduc carbon mission thi page,Neutral
11,"abstract — technology holds great potential for improvements in the field of health care used in intelligent environments, with homes becoming the centers for proactive health care. smart health care systems at home can be used to provide such solutions. a technology-assisted smart health care",abstract — technolog hold great potenti for improv in the field of health care use in intellig environ with home becom the center for practic health care smart health care system at home can be use to provid such solut a technology-assist smart health care,Negative
12,"systems of embedded computers and sensors throughout society could well dwarf all previous milestones in the information revolution. however, a framework does not yet exist that can allow the distributed computing paradigm offered by smart sensors to be employed for structural health monitoring",system of embed comput and sensori throughout societi could well dwarf all previou mileston in the inform revolut howev a framework doe not yet exist that can allow the distribut comput paradis offer by smart sensori to be employ for structur health monitor,Positive
13,"” to measure medical data, and send it to the medical center through a network, makes it possible to lengthen the independent living at home. the diagram described below aims to show how health smart home contributes to increase the quality of life of patients and how telemedicine allows helping diagnostics",” to measur medic data and send it to the medic center through a network make it possibl to lengthen the independ live at home the diagram describ below aim to show how health smart home contribut to increas the qualiti of life of patient and how telemedicin allow help diagnost,Neutral
14,"the pervasive sensing technologies found in smart homes offer unprecedented opportunities for providing health monitoring and assistance to individuals experiencing difficulties living independently at home. in order to monitor the functional health of smart home residents, we need to design",the evas sens technolog found in smart home offer unpreced opportun for provid health monitor and assist to individu experienc difficulti live independ at home in order to monitor the function health of smart home resid we need to design,Negative
15,abstract. the growth in popularity of smart environments has been quite steep in the last decade and so has the demand for smart health assistance systems. a smart home-based prompting system can enhance these technologies to deliver in-home interventions to a user for timely reminders or a brief,abstract the growth in popular of smart environ ha been quit steep in the last decad and so ha the demand for smart health assist system a smart home-bas prompt system can enhanc these technolog to deliv in-hom intervent to a user for time remind or a brief,Positive
16,"abstract. a main goal for the researchers designing smart health care technology is to develop strategies allowing both, early detection of and avoid problems that could lead to a decreased independence. medical analysis, smart sensors, intelligent software agents, distributed control, wireless",abstract a main goal for the research design smart health care technolog is to develop strateg allow both earli detect of and avoid problem that could lead to a decreas independ medic analysi smart sensori intellig softwar agent distribut control tireless,Positive
